storey_uuid,dataSource,functionType,interiorSpace,sensor_name,room_name,spaceType,uuid,coordinates,type,storey_floorId,storey_floorPlan,storey_name,storey_geoReference,building_address,building_geo,building_name
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #23083,3.325 - Kantoor,occupancy,dd9b0641-a9ed-404e-9ecb-164055b63918,"[{latitude=51.44805733493447, longitude=5.48627946193367}, {latitude=51.448057314199815, longitude=5.486236219676476}, {latitude=51.4480842638067, longitude=5.486236186393727}, {latitude=51.44808428454136, longitude=5.4862794286764665}, {latitude=51.44805733493447, longitude=5.48627946193367}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #13078,3.201 - Collegezaal,occupancy,90427475-e249-441d-bc12-6de1e3b6d55a,"[{latitude=51.44748072397743, longitude=5.48606346597441}, {latitude=51.44748070324277, longitude=5.486020224263356}, {latitude=51.447507652849644, longitude=5.486020190980912}, {latitude=51.44750767358432, longitude=5.486063432717614}, {latitude=51.44748072397743, longitude=5.48606346597441}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #23082,3.323 - Kantoortuin Werklandschap,occupancy,edbd9957-0c50-4956-99ae-f5f7b15ec288,"[{latitude=51.44812643783395, longitude=5.4862794775928885}, {latitude=51.448126417099296, longitude=5.486236235270252}, {latitude=51.44815336670617, longitude=5.486236201987402}, {latitude=51.44815338744083, longitude=5.486279444335584}, {latitude=51.44812643783395, longitude=5.4862794775928885}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #23012,3.423 - Kantoor,occupancy,b03a946a-107b-4e1b-b6ab-844d46db2643,"[{latitude=51.44847246027675, longitude=5.486277876195311}, {latitude=51.44847243954209, longitude=5.486234633545052}, {latitude=51.44849938914896, longitude=5.486234600261896}, {latitude=51.448499409883645, longitude=5.4862778429378025}, {latitude=51.44847246027675, longitude=5.486277876195311}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,,Dynet Sensor,occupancy,571f53ed-a204-47a0-b8b2-c05ebe075052,"[{latitude=51.44755507131997, longitude=5.486265171830438}, {latitude=51.447555050585315, longitude=5.486221930048954}, {latitude=51.4475820001922, longitude=5.48622189676651}, {latitude=51.447582020926866, longitude=5.486265138573541}, {latitude=51.44755507131997, longitude=5.486265171830438}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #13058,3.123 - Kantoortuin Werklandschap,occupancy,7f2d6c5e-c49a-426b-9d45-54680f364d23,"[{latitude=51.44727313303556, longitude=5.486281453145219}, {latitude=51.447273112300905, longitude=5.486238211630698}, {latitude=51.44730006190778, longitude=5.486238178348458}, {latitude=51.44730008264246, longitude=5.486281419888526}, {latitude=51.44727313303556, longitude=5.486281453145219}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,,Dynet Sensor,occupancy,fe7b0988-731c-4bbe-b048-56e8dca42ea6,"[{latitude=51.448154644295, longitude=5.486075607267316}, {latitude=51.44815462356035, longitude=5.486032364918014}, {latitude=51.448181573167226, longitude=5.486032331635164}, {latitude=51.4481815939019, longitude=5.486075574010012}, {latitude=51.448154644295, longitude=5.486075607267316}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #23010,3.430 - Kantoor,occupancy,ef01d56f-501b-4a9f-9361-6a7c4ce86248,"[{latitude=51.44826508535191, longitude=5.486277829209918}, {latitude=51.448265064617274, longitude=5.486234586755988}, {latitude=51.448292014224144, longitude=5.486234553473036}, {latitude=51.44829203495881, longitude=5.486277795952512}, {latitude=51.44826508535191, longitude=5.486277829209918}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #13074,3.104 - Kantoor,occupancy,a4b041eb-5ab1-44d8-b0cd-a1fcd14c7855,"[{latitude=51.44718117385315, longitude=5.486062884068878}, {latitude=51.44718115311849, longitude=5.486019642641377}, {latitude=51.44720810272537, longitude=5.486019609359238}, {latitude=51.447208123460044, longitude=5.486062850812184}, {latitude=51.44718117385315, longitude=5.486062884068878}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
07be2482-c02d-403b-a233-c29d41b1add0,dynet,occupancy,TRUE,DUS360CR #23097,3.422 - Kantoortuin Werklandschap,occupancy,4d036eb4-1191-4999-b354-c2a0877c5310,"[{latitude=51.448518879545645, longitude=5.486277886712718}, {latitude=51.44851885881099, longitude=5.4862346440184915}, {latitude=51.44854580841787, longitude=5.486234610735335}, {latitude=51.44854582915254, longitude=5.486277853455109}, {latitude=51.448518879545645, longitude=5.486277886712718}]",polygon,3,"{""width"":""20000"",""name"":""EF644EA6-3640-4F09-80B7-1D230250EC09.png"",""imageURI"":""/buildingStoreyImage/07be2482-c02d-403b-a233-c29d41b1add0"",""height"":""3000""}",Verdieping 03,"[{""pixelCoordinates"":{""x"":19812.0,""y"":2696.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486001}},{""pixelCoordinates"":{""x"":19826.0,""y"":303.213134765625},""geoCoordinates"":{""latitude"":51.448658,""longitude"":5.486305}},{""pixelCoordinates"":{""x"":177.0,""y"":2706.213134765625},""geoCoordinates"":{""latitude"":51.44708,""longitude"":5.485995}}]","{""postalBox"":""5612 AE"",""country"":""Netherlands"",""addressLines"":""3 : Groene Loper"",""countryCode"":""NL"",""region"":""Noord Brabant"",""town"":""Eindhoven""}","{""latitude"":51.4482114,""longitude"":5.4858237}",Atlas
